step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
142,6,8,cover,6,8,floor,0.0,0.0,0.0,normal,1.0,0.29791666666666666,,toward_cover
143,5,8,cover,5,8,floor,0.0,0.0,0.0,normal,1.0,0.3,,toward_cover
144,4,8,cover,4,8,floor,0.0,0.0,0.0,normal,1.0,0.3020833333333333,,toward_cover
145,3,8,cover,3,8,floor,0.0,0.0,0.0,normal,1.0,0.30416666666666664,,toward_cover
146,2,8,cover,2,8,floor,0.0,0.0,0.0,normal,1.0,0.30625,,toward_cover
147,1,8,cover,1,8,floor,0.0,0.0,0.0,normal,1.0,0.30833333333333335,,toward_cover
148,1,9,cover,1,9,floor,0.0,0.0,0.0,normal,1.0,0.3104166666666667,,toward_cover
149,2,9,cover,2,9,floor,0.0,0.0,0.0,normal,1.0,0.3125,,toward_cover
150,3,9,cover,3,9,floor,0.0,0.0,0.0,normal,1.0,0.3145833333333333,,toward_cover
151,4,9,cover,4,9,floor,0.0,0.0,0.0,normal,1.0,0.31666666666666665,,toward_cover
152,5,9,cover,5,9,floor,0.0,0.0,0.0,normal,1.0,0.31875,,toward_cover
153,6,9,cover,6,9,floor,0.0,0.0,0.0,normal,1.0,0.32083333333333336,,toward_cover
154,7,9,cover,7,9,floor,0.0,0.0,0.0,normal,1.0,0.3229166666666667,,toward_cover
155,8,9,cover,8,9,floor,0.0,0.0,0.0,normal,1.0,0.325,,toward_cover
156,9,9,cover,9,9,floor,0.0,0.0,0.0,normal,1.0,0.32708333333333334,,toward_cover
157,9,10,cover,9,10,floor,0.0,0.0,0.0,normal,1.0,0.32916666666666666,,toward_cover
158,8,10,cover,8,10,floor,0.0,0.0,0.0,normal,1.0,0.33125,,toward_cover
159,7,10,cover,7,10,floor,0.0,0.0,0.0,normal,1.0,0.3333333333333333,,toward_cover
160,6,10,cover,6,10,floor,0.0,0.0,0.0,normal,1.0,0.33541666666666664,,toward_cover
161,5,10,cover,5,10,floor,0.0,0.0,0.0,normal,1.0,0.3375,,toward_cover
162,4,10,cover,4,10,floor,0.0,0.0,0.0,normal,1.0,0.33958333333333335,,toward_cover
163,3,10,cover,3,10,floor,0.0,0.0,0.0,normal,1.0,0.3416666666666667,,toward_cover
164,2,10,cover,2,10,floor,0.0,0.0,0.0,normal,1.0,0.34375,,toward_cover
165,1,10,cover,1,10,floor,0.0,0.0,0.0,normal,1.0,0.3458333333333333,,toward_cover
166,1,11,cover,1,11,floor,0.0,0.0,0.0,normal,1.0,0.34791666666666665,,toward_cover
167,2,11,cover,2,11,floor,0.0,0.0,0.0,normal,1.0,0.35,,toward_cover
168,3,11,cover,3,11,floor,0.0,0.0,0.0,normal,1.0,0.35208333333333336,,toward_cover
169,4,11,cover,4,11,floor,0.0,0.0,0.0,normal,1.0,0.3541666666666667,,toward_cover
170,5,11,cover,5,11,floor,0.0,0.0,0.0,normal,1.0,0.35625,,toward_cover
171,6,11,cover,6,11,floor,0.0,0.0,0.0,normal,1.0,0.35833333333333334,,toward_cover
172,7,11,cover,7,11,floor,0.0,0.0,0.0,normal,1.0,0.36041666666666666,,toward_cover
173,8,11,cover,8,11,floor,0.0,0.0,0.0,normal,1.0,0.3625,,toward_cover
174,9,11,cover,9,11,floor,0.0,0.0,0.0,normal,1.0,0.3645833333333333,,toward_cover
175,9,12,cover,9,12,floor,0.0,0.0,0.0,normal,1.0,0.36666666666666664,,toward_cover
176,8,12,cover,8,12,floor,0.0,0.0,0.0,normal,1.0,0.36875,,toward_cover
177,7,12,cover,7,12,floor,0.0,0.0,0.0,normal,1.0,0.37083333333333335,,toward_cover
178,6,12,cover,6,12,floor,0.0,0.0,0.0,normal,1.0,0.3729166666666667,,toward_cover
179,5,12,cover,5,12,floor,0.0,0.0,0.0,normal,1.0,0.375,,toward_cover
180,4,12,cover,4,12,floor,0.0,0.0,0.0,normal,1.0,0.3770833333333333,,toward_cover
181,3,12,cover,3,12,floor,0.0,0.0,0.0,normal,1.0,0.37916666666666665,,toward_cover
182,2,12,cover,2,12,floor,0.0,0.0,0.0,normal,1.0,0.38125,,toward_cover
183,1,12,cover,1,12,floor,0.0,0.0,0.0,normal,1.0,0.38333333333333336,,toward_cover
184,1,13,cover,1,13,floor,0.0,0.0,0.0,normal,1.0,0.3854166666666667,,toward_cover
185,2,13,cover,2,13,floor,0.0,0.0,0.0,normal,1.0,0.3875,,toward_cover
186,3,13,cover,3,13,floor,0.0,0.0,0.0,normal,1.0,0.38958333333333334,,toward_cover
187,4,13,cover,4,13,floor,0.0,0.0,0.0,normal,1.0,0.39166666666666666,,toward_cover
188,5,13,cover,5,13,floor,0.0,0.0,0.0,normal,1.0,0.39375,,toward_cover
189,6,13,cover,6,13,floor,0.0,0.0,0.0,normal,1.0,0.3958333333333333,,toward_cover
190,7,13,cover,7,13,floor,0.0,0.0,0.0,normal,1.0,0.39791666666666664,,toward_cover
191,8,13,cover,8,13,floor,0.0,0.0,0.0,normal,1.0,0.4,,toward_cover
192,9,13,cover,9,13,floor,0.0,0.0,0.0,normal,1.0,0.40208333333333335,,toward_cover
193,10,13,cover,10,13,floor,0.0,0.0,0.0,normal,1.0,0.4041666666666667,,toward_cover
194,11,13,cover,11,13,floor,0.0,0.0,0.0,normal,1.0,0.40625,,toward_cover
195,12,13,cover,12,13,floor,0.0,0.0,0.0,normal,1.0,0.4083333333333333,,toward_cover
196,13,13,cover,13,13,floor,0.0,0.0,0.0,normal,1.0,0.41041666666666665,,toward_cover
197,13,12,cover,13,12,floor,0.0,0.0,0.0,normal,1.0,0.4125,,toward_cover
198,13,11,cover,13,11,floor,0.0,0.0,0.0,normal,1.0,0.41458333333333336,,toward_cover
199,13,10,cover,13,10,floor,0.0,0.0,0.0,normal,1.0,0.4166666666666667,,toward_cover
200,13,9,cover,13,9,floor,0.0,0.0,0.0,normal,1.0,0.41875,,toward_cover
201,13,8,cover,13,8,floor,0.0,0.0,0.0,normal,1.0,0.42083333333333334,,toward_cover
202,13,7,cover,13,7,floor,0.0,0.0,0.0,normal,1.0,0.42291666666666666,,toward_cover
203,13,6,cover,13,6,floor,0.0,0.0,0.0,normal,1.0,0.425,,toward_cover
204,13,5,cover,13,5,floor,0.0,0.0,0.0,normal,1.0,0.4270833333333333,,toward_cover
205,14,5,cover,14,5,floor,0.0,0.0,0.0,normal,1.0,0.42916666666666664,,toward_cover
206,15,5,cover,15,5,floor,0.0,0.0,0.0,normal,1.0,0.43125,,toward_cover
207,16,5,cover,16,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.43333333333333335,,toward_cover
208,17,5,cover,17,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.4354166666666667,,toward_cover
209,18,5,cover,18,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.4375,,toward_cover
210,19,5,cover,19,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.4395833333333333,,toward_cover
211,20,5,cover,20,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.44166666666666665,,toward_cover
212,21,5,cover,21,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.44375,,toward_cover
213,22,5,cover,22,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.44583333333333336,,toward_cover
214,23,5,cover,23,5,carpet,0.0,0.0,0.0,high_cost,1.5,0.4479166666666667,,toward_cover
215,24,5,cover,24,5,floor,0.0,0.0,0.0,normal,1.0,0.45,,toward_cover
216,25,5,cover,25,5,floor,0.0,0.0,0.0,normal,1.0,0.45208333333333334,,toward_cover
217,26,5,cover,26,5,floor,0.0,0.0,0.0,normal,1.0,0.45416666666666666,,toward_cover
218,27,5,cover,27,5,floor,0.0,0.0,0.0,normal,1.0,0.45625,,toward_cover
219,28,5,cover,28,5,floor,0.0,0.0,0.0,normal,1.0,0.4583333333333333,,toward_cover
220,28,6,cover,28,6,floor,0.0,0.0,0.0,normal,1.0,0.46041666666666664,,toward_cover
221,27,6,cover,27,6,floor,0.0,0.0,0.0,normal,1.0,0.4625,,toward_cover
222,26,6,cover,26,6,floor,0.0,0.0,0.0,normal,1.0,0.46458333333333335,,toward_cover
223,25,6,cover,25,6,floor,0.0,0.0,0.0,normal,1.0,0.4666666666666667,,toward_cover
224,24,6,cover,24,6,floor,0.0,0.0,0.0,normal,1.0,0.46875,,toward_cover
225,23,6,cover,23,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.4708333333333333,,toward_cover
226,22,6,cover,22,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.47291666666666665,,toward_cover
227,21,6,cover,21,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.475,,toward_cover
228,20,6,cover,20,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.47708333333333336,,toward_cover
229,19,6,cover,19,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.4791666666666667,,toward_cover
230,18,6,cover,18,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.48125,,toward_cover
231,17,6,cover,17,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.48333333333333334,,toward_cover
232,16,6,cover,16,6,carpet,0.0,0.0,0.0,high_cost,1.5,0.48541666666666666,,toward_cover
233,15,6,cover,15,6,floor,0.0,0.0,0.0,normal,1.0,0.4875,,toward_cover
234,14,6,cover,14,6,floor,0.0,0.0,0.0,normal,1.0,0.4895833333333333,,toward_cover
235,14,7,cover,14,7,floor,0.0,0.0,0.0,normal,1.0,0.49166666666666664,,toward_cover
236,15,7,cover,15,7,floor,0.0,0.0,0.0,normal,1.0,0.49375,,toward_cover
237,16,7,cover,16,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.49583333333333335,,toward_cover
238,17,7,cover,17,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.4979166666666667,,toward_cover
239,18,7,cover,18,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.5,,toward_cover
240,19,7,cover,19,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.5020833333333333,,toward_cover
241,20,7,cover,20,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.5041666666666667,,toward_cover
242,21,7,cover,21,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.50625,,toward_cover
243,22,7,cover,22,7,carpet,0.0,0.0,0.0,high_cost,1.5,0.5083333333333333,,toward_cover
